year,World CO2 emissions (kt),Alternative and nuclear energy (% of total energy use)
2000,"24,689,911",9.051321315
2001,"25,276,631",9.055738192
2002,"25,646,998",9.009325182
2003,"27,047,792",8.697014644
2004,"28,393,581",8.702727836
2005,"29,490,014",8.628643216
2006,"30,568,112",8.563774014
2007,"31,180,501",8.265278235
2008,"32,181,592",8.326465256
2009,"31,891,899",8.415198435
2010,"33,472,376",8.258011323
2011,"34,847,501",7.938524972
2012,"35,470,891",7.745533184
2013,"35,837,591",7.913614123
2014,"36,138,285",8.134738484
2015,"36,061,710",13.35408278
