Years,Sea Surface Temperature Anomaly,Sea-Ice-Extent On January1
2000,0.2325024,13.442
2001,0.4042188,13.479
2002,0.4671414,13.59
2003,0.5250798,13.647
2004,0.4946364,13.502
2005,0.5327874,13.16
2006,0.5114556,13.16
2007,0.3846042,13.11
2008,0.3673116,9.12
2009,0.5894424,13.189
2010,0.6127182,13.205
2011,0.4286736,12.896
2012,0.528696,7.572
2013,0.5846742,12.959
2014,0.7512552,8.546
2015,0.935577,13.073
https://www.epa.gov/sites/production/files/2016-08/sea-surface-temp_fig-1.csv,,
https://www.kaggle.com/nsidcorg/daily-sea-ice-extent-data,,
